"Image Name","PID","Session Name","Session#","Mem Usage"
"chrome.exe","3804","Console","1","32,332 K"
"chrome.exe","9400","Console","1","37,428 K"
"SearchProtocolHost.exe","7940","Console","1","7,356 K"
"svchost.exe","15124","Services","0","21,220 K"
"chrome.exe","5176","Console","1","117,560 K"
"chrome.exe","7712","Console","1","23,288 K"
"SearchFilterHost.exe","5616","Services","0","8,592 K"
"chrome.exe","12880","Console","1","34,620 K"
"WmiApSrv.exe","3248","Services","0","7,644 K"
"dllhost.exe","4376","Console","1","6,644 K"
"java.exe","6936","Console","1","163,124 K"
"java.exe","12736","Console","1","41,668 K"
"conhost.exe","7264","Console","1","6,776 K"
"conhost.exe","13320","Console","1","6,760 K"
"tasklist.exe","5688","Console","1","7,540 K"
"conhost.exe","12792","Console","1","6,656 K"
